depth,information_gain,switched,delta,weighting_strategy,node_id,tree_index
2,18.5701373935047,False,0.1,ctcvr_subctr_de_norm_gain,5,3
0,163.43048979642387,False,0.1,ctcvr_subctr_de_norm_gain,0,4
1,26.14997767986489,False,0.1,ctcvr_subctr_de_norm_gain,1,4
2,10.448885825714655,False,0.1,ctcvr_subctr_de_norm_gain,2,4
2,13.796299396367917,False,0.1,ctcvr_subctr_de_norm_gain,5,4
0,134.56213570972784,False,0.1,ctcvr_subctr_de_norm_gain,0,5
1,23.96378523032958,False,0.1,ctcvr_subctr_de_norm_gain,1,5
2,5.458054458773354,False,0.1,ctcvr_subctr_de_norm_gain,2,5
2,16.63225826482938,False,0.1,ctcvr_subctr_de_norm_gain,5,5
0,112.43155564507903,False,0.1,ctcvr_subctr_de_norm_gain,0,6
1,21.76851987351082,False,0.1,ctcvr_subctr_de_norm_gain,1,6
2,5.290158662098172,False,0.1,ctcvr_subctr_de_norm_gain,2,6
2,12.745788955218702,False,0.1,ctcvr_subctr_de_norm_gain,5,6
0,94.94308036100963,False,0.1,ctcvr_subctr_de_norm_gain,0,7
1,19.77353218289987,False,0.1,ctcvr_subctr_de_norm_gain,1,7
2,8.869667336175333,False,0.1,ctcvr_subctr_de_norm_gain,2,7
2,8.24125550128548,False,0.1,ctcvr_subctr_de_norm_gain,5,7
0,80.82405074874053,False,0.1,ctcvr_subctr_de_norm_gain,0,8
1,18.372379874748095,False,0.1,ctcvr_subctr_de_norm_gain,1,8
2,5.361158067553468,False,0.1,ctcvr_subctr_de_norm_gain,2,8
2,11.291746646334767,False,0.1,ctcvr_subctr_de_norm_gain,5,8
0,69.28869012417078,False,0.1,ctcvr_subctr_de_norm_gain,0,9
1,17.106817628180394,False,0.1,ctcvr_subctr_de_norm_gain,1,9
2,6.507586800929279,False,0.1,ctcvr_subctr_de_norm_gain,2,9
2,13.113522741994462,False,0.1,ctcvr_subctr_de_norm_gain,5,9
0,59.67975878072428,False,0.1,ctcvr_subctr_de_norm_gain,0,10
1,16.316101558428826,False,0.1,ctcvr_subctr_de_norm_gain,1,10
2,3.032814659460179,False,0.1,ctcvr_subctr_de_norm_gain,2,10
2,14.201888427039455,False,0.1,ctcvr_subctr_de_norm_gain,5,10
0,51.701245136235464,False,0.1,ctcvr_subctr_de_norm_gain,0,11
